Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
forgot google email,0,13,0.0000,54.0,forgot google email,7
forgot google email password,0,1,0.0000,89.0,forgot google email password,7
forgot google password and email,0,3,0.0000,74.0,forgot google password email,7
forgot google.password,0,1,0.0000,20.0,forgot google password,7
forgot my google password,0,14,0.0000,86.0,forgot google password,7
forgot password for google,0,1,0.0000,65.0,forgot password google,7
forgot password google,0,20,0.0000,26.0,forgot password google,7
forgot password on google,0,1,0.0000,52.0,forgot password google,7
forgot store menu,0,9,0.0000,11.0,forgot store menu,5
forgotten google password,0,1,0.0000,75.0,forgotten google password,7
forgotten my google password,0,1,0.0000,84.0,forgotten google password,7
fortnight apparel,0,1,0.0000,99.0,fortnight apparel,4
fortnight tee shirts,0,1,0.0000,26.0,fortnight t-shirt shirt,2
foto store near me,0,1,0.0000,1.0,foto store near,5
found item clothing,0,1,0.0000,90.0,found item clothing,5
fpo address,0,43,0.0000,72.0,fpo address,4
fpo addresses,0,7,0.0000,85.0,fpo addresses,4
fpo ap address,0,8,0.0000,97.0,fpo ap address,4
fpo apo,0,1,0.0000,83.0,fpo apo,4
fpo apo shipping,0,5,0.0000,66.0,fpo apo shipping,4
fpo box,0,19,0.0000,56.0,fpo box,4
fpo boxes,0,8,0.0000,34.0,fpo boxes,4
fpo cc receipts,0,14,0.0000,9.7,fpo cc receipts,4
fpo certificate,0,1,0.0000,100.0,fpo certificate,4
fpo certification,0,3,0.0000,68.0,fpo certification,4
fpo country,0,2,0.0000,86.0,fpo country,4
fpo delivery,0,1,0.0000,41.0,fpo delivery,4
fpo mail,0,1,0.0000,99.0,fpo mail,4
fpo mailing address,0,5,0.0000,81.0,fpo mailing address,4
fpo marketing,0,72,0.0000,86.0,fpo marketing,4
fpo online,0,3,0.0000,77.0,fpo online,7
fpo or apo,0,2,0.0000,100.0,fpo apo,4
fpo order,0,2,0.0000,61.0,fpo order,4
fpo products,0,5,0.0000,46.0,fpo products,4
fpo products list,0,1,0.0000,88.0,fpo products list,5
fpo result checking,0,1,0.0000,63.0,fpo result checking,4
fpo shipping,0,20,0.0000,82.0,fpo shipping,4
fpo united states,0,3,0.0000,67.0,fpo united states,4
fpo usa,0,12,0.0000,48.0,fpo usa,4
fpo usps,0,1,0.0000,99.0,fpo usps,4
fr gear,0,1,0.0000,5.0,fr gear,4
free advertising stickers,0,1,0.0000,62.0,free advertising stickers,5
free android stickers,0,1,0.0000,16.0,free android stickers,5
free baby stickers,0,1,0.0000,100.0,free baby stickers,3
free brand stickers,0,10,0.0000,82.0,free brand stickers,5
free car decals by mail,0,4,0.0000,88.0,free car decals mail,3
free cell phone stickers,0,2,0.0000,29.0,free cell phone stickers,5
free children's museum near me,0,1,0.0000,1.0,free children museum near,5
free computer stickers,0,4,0.0000,58.0,free computer stickers,5
free diabetes test near me,0,1,0.0000,1.0,free diabetes test near,4
free funny stickers by mail 2018,0,3,0.0000,20.0,free funny stickers mail,3
free google store,0,1,0.0000,27.0,free google store,7
free jt shirt,0,1,0.0000,98.0,free jt shirt,2
free laptop stickers,0,16,0.0000,51.0,free laptop stickers,3
free merch store,0,2,0.0000,60.0,free merchandise store,5
free merchandise maker,0,3,0.0000,93.0,free merchandise maker,5
free mind t shirt,0,2,0.0000,60.0,free mind shirt,2
free online merch store,0,1,0.0000,48.0,free online merchandise store,5
free online tshirt store,0,1,0.0000,87.0,free online shirt store,5
free online youtube,0,1,0.0000,70.0,free online youtube,6
free phone stickers,0,2,0.0000,29.0,free phone stickers,5
free pride stickers,0,6,0.0000,41.0,free pride stickers,2
free shipping google store,0,22,0.0000,7.3,free shipping google store,5
free shirts by mail 2018,0,2,0.0000,43.0,free shirt mail,2
free sticker brands,0,1,0.0000,73.0,free sticker brands,5
free stickers for android,0,5,0.0000,34.0,free stickers android,5
free stickers for laptop,0,1,0.0000,56.0,free stickers laptop,3
free stickers for laptops,0,3,0.0000,46.0,free stickers laptops,3
free stickers for my phone,0,1,0.0000,37.0,free stickers phone,5
free stickers for phone,0,1,0.0000,21.0,free stickers phone,5
free stickers for your phone,0,1,0.0000,41.0,free stickers phone,5
free sub youtube,0,1,0.0000,48.0,free sub youtube,6
free t shirt by mail,0,1,0.0000,89.0,free shirt mail,2
free t shirts 2018,0,1,0.0000,190.0,free shirt,2
free t shirts by mail worldwide,0,2,0.0000,60.0,free shirt mail worldwide,5
free tech t shirts,0,3,0.0000,90.0,free tech shirt,2
free technology stickers,0,1,0.0000,29.0,free technology stickers,5
free university stickers,0,1,0.0000,63.0,free university stickers,4
free window stickers,0,3,0.0000,69.0,free window stickers,3
free youtube,0,12,0.0000,84.0,free youtube,6
free youtube com,0,1,0.0000,65.0,free youtube com,6
free youtube con,0,1,0.0000,68.0,free youtube con,6
free youtube kids,0,1,0.0000,37.0,free youtube kids,6
free youtube logo,0,3,0.0000,36.0,free youtube logo,6
free youtube online,0,2,0.0000,62.0,free youtube online,6
free youtube plays,0,1,0.0000,61.0,free youtube plays,6
free youtube stickers,0,17,0.0000,9.5,free youtube stickers,6
free youtube studio,0,5,0.0000,64.0,free youtube studio,6
free youtube viewer,0,1,0.0000,62.0,free youtube viewer,6
free youtuber merch,0,27,0.0000,9.9,free youtube merchandise,6
free yt sub,0,1,0.0000,95.0,free yt sub,4
free. youtube,0,1,0.0000,67.0,free youtube,6
freedom of movement stores,0,6,0.0000,30.0,freedom movement store,5
freedom of thought youtube,0,1,0.0000,36.0,freedom thought youtube,6
freedom tv youtube,0,2,0.0000,65.0,freedom tv youtube,6
freedom you tube,0,1,0.0000,88.0,freedom youtube,6
freedom youtube,0,4,0.0000,77.0,freedom youtube,6
french gifts,0,1,0.0000,7.0,french gifts,4
french google,0,2,0.0000,82.0,french google,7
frequent asked questions,0,1,0.0000,200.0,frequent asked questions,4
frequently asked delivery questions,0,1,0.0000,49.0,frequently asked delivery questions,5
frequently asked google,0,11,0.0000,32.0,frequently asked google,7
frequently asked questions,0,182,0.0000,170.0,frequently asked questions,4
frequently asked questions about ordering,0,40,0.0000,39.0,frequently asked questions ordering,5
frequently asked questions for google,0,64,0.0000,40.0,frequently asked questions google,7
frequently asked questions google,0,284,0.0000,54.0,frequently asked questions google,7
frequently asked questions on google,0,16,0.0000,41.0,frequently asked questions google,7
frequently asked questions regarding,0,4,0.0000,160.0,frequently asked questions regarding,4
frequently asked questions regarding the,0,1,0.0000,190.0,frequently asked questions regarding,4
frequently asked questions united states,0,1,0.0000,200.0,frequently asked questions united states,5
"frequently asked questions,",0,2,0.0000,160.0,frequently asked questions,4
frequently imported items,0,1,0.0000,53.0,frequently imported items,5
fresh eyes youtube,0,1,0.0000,44.0,fresh eyes youtube,6
friday the 13th baby clothes,0,2,0.0000,43.0,friday th baby clothes,5
friday the 13th youtube full movie,0,1,0.0000,70.0,friday th youtube full movie,6
friends clothing,0,2,0.0000,4.0,friends clothing,5
friends merchandise near me,0,1,0.0000,1.0,friends merchandise near,5
frisbee,0,6,0.0000,7.8,frisbee,4
frisbee accessories,0,1,0.0000,39.0,frisbee accessories,4
frisbee amazon,0,1,0.0000,42.0,frisbee amazon,4
frisbee buy,0,1,0.0000,150.0,frisbee buy,4
frisbee shop,0,34,0.0000,80.0,frisbee shop,4
frisbee shop singapore,0,1,0.0000,81.0,frisbee shop singapore,5
frisbee stickers,0,1,0.0000,76.0,frisbee stickers,4
frisbee store,0,14,0.0000,68.0,frisbee store,5
frisbees,0,2,0.0000,3.0,frisbees,4
from and about,0,3,0.0000,63.0,non ascii symbols punctuations numbers,1
from google google,0,1,0.0000,140.0,google google,7
from play store,0,1,0.0000,97.0,play store,5
from store store,0,4,0.0000,79.0,store store,5
from tee to green,0,1,0.0000,43.0,t-shirt green,2
from the google,0,7,0.0000,68.0,google,7
from the google mini,0,2,0.0000,130.0,google mini,7
from the play store,0,2,0.0000,110.0,play store,5
from your google,0,1,0.0000,130.0,google,7
from youtube,0,1,0.0000,48.0,youtube,6
from youtube the,0,8,0.0000,64.0,youtube,6
from yt,0,1,0.0000,47.0,yt,4
front bag,0,14,0.0000,28.0,front bag,3
front bags,0,1,0.0000,100.0,front bags,3
front rucksack,0,1,0.0000,85.0,front rucksack,4
frontbag,0,31,0.0000,1.5,non ascii symbols punctuations numbers,1
fruits de mer,0,1,0.0000,2.0,fruits de mer,4
fu kru shop,0,1,0.0000,80.0,fu kru shop,4
fu n,0,2,0.0000,55.0,fu n,4
fu.n,0,1,0.0000,56.0,fu n,4
full baby bib,0,4,0.0000,88.0,full baby bib,2
full onesie,0,8,0.0000,43.0,full onesie,4
full onesies baby,0,2,0.0000,20.0,full onesies baby,4
full send hat,0,2,0.0000,16.0,full send hat,2
full send merch,0,12,0.0000,11.0,full send merchandise,5
full send nelk,0,2,0.0000,56.0,full send,4
full send nelk shirt,0,1,0.0000,20.0,full send shirt,2
full send shirt,0,2,0.0000,57.0,full send shirt,2
full send shirt nelk,0,2,0.0000,30.0,full send shirt,2
full send stickers,0,1,0.0000,99.0,full send stickers,3
full send sweater,0,1,0.0000,16.0,full send sweater,2
full send sweatshirt,0,1,0.0000,56.0,full send shirt,2
full send t shirt,0,3,0.0000,30.0,full send shirt,2
full send tshirt,0,2,0.0000,9.5,full send shirt,2
full send university shirt,0,4,0.0000,17.0,full send university shirt,2
full send youtube,0,3,0.0000,6.7,full send youtube,6
full sleeve onesies,0,1,0.0000,67.0,full sleeve onesies,2
full sleeve t shirt online shopping,0,1,0.0000,110.0,full sleeve shirt online shop,2
full sleeves t shirts for kids,0,2,0.0000,72.0,full sleeves shirt kids,2
full sleeves t shirts online shopping in pakistan,0,1,0.0000,64.0,full sleeves shirt online shop pakistan,2
full source t shirts,0,2,0.0000,28.0,full source shirt,2
full t shirt with cap,0,2,0.0000,42.0,full shirt cap,2
fullsend shirt,0,1,0.0000,54.0,shirt,2
fully charged merchandise,0,11,0.0000,8.5,fully charged merchandise,5
fun,0,1123,0.0000,39.0,fun,4
fun .,0,1,0.0000,83.0,fun,4
fun 2 fun clothing brand,0,1,0.0000,89.0,fun fun clothing brand,5
fun 6,0,1,0.0000,66.0,fun,4
fun 7,0,1,0.0000,42.0,fun,4
fun 99,0,2,0.0000,24.0,fun,4
fun accesories,0,3,0.0000,9.3,fun accessories,5
fun android,0,7,0.0000,29.0,fun android,4
fun bags,0,1,0.0000,95.0,fun bags,3
fun branded merchandise,0,1,0.0000,35.0,fun branded merchandise,5
fun clothes,0,1,0.0000,1.0,fun clothes,5
fun collared shirts,0,1,0.0000,81.0,fun collared shirt,2
fun crew socks,0,1,0.0000,91.0,fun crew socks,2
fun decals,0,4,0.0000,63.0,fun decals,4
fun droid,0,3,0.0000,37.0,fun droid,4
fun fun,0,1,0.0000,60.0,fun fun,4
fun fun shop,0,1,0.0000,35.0,fun fun shop,5
fun google,0,81,0.0000,30.0,fun google,7
fun google home,0,1,0.0000,95.0,fun google home,7
fun googley swag,0,13,0.0000,1.0,fun google swag,7
fun home,0,2,0.0000,11.0,fun home,5
fun home accessories,0,14,0.0000,71.0,fun home accessories,5
fun home merchandise,0,4,0.0000,19.0,fun home merchandise,5
fun in store,0,6,0.0000,28.0,fun store,5
fun is fun,0,1,0.0000,300.0,fun fun,4
fun kids socks,0,2,0.0000,91.0,fun kids socks,2
fun lake accessories,0,3,0.0000,61.0,fun lake accessories,5
fun laptop accessories,0,3,0.0000,67.0,fun laptop accessories,3
fun laptop bags,0,1,0.0000,99.0,fun laptop bags,3
fun laptop sleeve,0,4,0.0000,39.0,fun laptop sleeve,3
fun laptop sleeves,0,4,0.0000,48.0,fun laptop sleeves,3
fun laptop stickers,0,2,0.0000,39.0,fun laptop stickers,3
fun link store,0,23,0.0000,2.8,fun link store,5
fun mens t shirts,0,2,0.0000,93.0,fun mens shirt,2
fun mens tshirts,0,2,0.0000,72.0,fun mens shirt,2
fun merch,0,9,0.0000,44.0,fun merchandise,5
fun merchandise,0,23,0.0000,9.7,fun merchandise,5
fun mouse pads,0,11,0.0000,61.0,fun mouse pads,3
fun mousepads,0,2,0.0000,90.0,fun mousepads,4
fun on google,0,2,0.0000,14.0,fun google,7
fun phone accessories,0,42,0.0000,87.0,fun phone accessories,5
fun places to go with friends near me,0,1,0.0000,1.0,fun places go friends near,5
fun plex,0,1,0.0000,11.0,fun plex,4
fun shirts for guys,0,1,0.0000,93.0,fun shirt guys,2
fun shirts for men,0,1,0.0000,86.0,fun shirt men,2
fun shop,0,4,0.0000,42.0,fun shop,5
fun socks,0,3,0.0000,130.0,fun socks,2
fun socks for men,0,5,0.0000,98.0,fun socks men,2
fun socks for women,0,3,0.0000,94.0,fun socks women,2
fun stickers,0,88,0.0000,56.0,fun stickers,4
fun stickers for laptops,0,2,0.0000,36.0,fun stickers laptops,3
fun stickers for water bottles,0,1,0.0000,54.0,fun stickers water bottles,3
fun stor,0,1,0.0000,10.0,fun stor,4
fun store,0,34,0.0000,32.0,fun store,5
fun sun glasses,0,1,0.0000,59.0,fun sun glasses,3
fun sunglasses,0,113,0.0000,48.0,fun sunglasses,4
fun sweatshirts,0,6,0.0000,85.0,fun shirt,2
fun t shirts,0,3,0.0000,28.0,fun shirt,2
fun t shirts for guys,0,1,0.0000,88.0,fun shirt guys,2
fun t shirts for men,0,2,0.0000,92.0,fun shirt men,2
fun to fun,0,1,0.0000,99.0,fun fun,4
fun to see stickers,0,2,0.0000,31.0,fun see stickers,3
fun tours,0,1,0.0000,3.0,fun tours,4
fun trike,0,1,0.0000,89.0,fun trike,4
fun tshirts,0,2,0.0000,31.0,fun shirt,2
fun wind,0,2,0.0000,92.0,fun wind,4
fun with google,0,52,0.0000,21.0,fun google,7
fun with your,0,1,0.0000,68.0,fun,4
"fun,",0,1,0.0000,29.0,fun,4
fun!,0,5,0.0000,30.0,fun,4
fun.,0,63,0.0000,36.0,fun,4
fun. merch,0,120,0.0000,45.0,fun merchandise,5
fun.:,0,2,0.0000,28.0,fun,4
fun',0,3,0.0000,40.0,fun,4
funda google,0,1,0.0000,3.0,funda google,7
funniest youtube,0,1,0.0000,91.0,funniest youtube,6
funny baby bibs and onesies,0,3,0.0000,52.0,funny baby bibs onesies,3
funny baby in car stickers,0,1,0.0000,81.0,funny baby car stickers,3
funny baby on board decals,0,22,0.0000,60.0,funny baby board decals,3
funny bibs and onesies,0,1,0.0000,96.0,funny bibs onesies,4
funny bicycle shirts,0,3,0.0000,61.0,funny bicycle shirt,2
funny bicycle t shirts,0,5,0.0000,47.0,funny bicycle shirt,2
funny bike t shirts,0,1,0.0000,96.0,funny bike shirt,2
funny business t shirts,0,2,0.0000,66.0,funny business shirt,2
funny car t shirts,0,1,0.0000,84.0,funny car shirt,2
funny car window stickers store,0,1,0.0000,61.0,funny car window stickers store,3
funny clothes for men,0,1,0.0000,96.0,funny clothes men,2
funny coffee mugs canada,0,1,0.0000,100.0,funny mugs canada,5
funny computer stickers,0,4,0.0000,76.0,funny computer stickers,3
funny crew socks,0,1,0.0000,79.0,funny crew socks,2
funny cycling t shirts uk,0,1,0.0000,90.0,funny cycling shirt uk,2
funny developer shirts,0,1,0.0000,40.0,funny developer shirt,2
funny developer t shirts,0,4,0.0000,78.0,funny developer shirt,2
funny dietitian shirts,0,1,0.0000,77.0,funny dietitian shirt,2
funny education t shirts,0,3,0.0000,50.0,funny education shirt,2
funny engineer shirt,0,5,0.0000,57.0,funny engineer shirt,2
funny engineer shirts,0,2,0.0000,47.0,funny engineer shirt,2
funny engineer t shirts,0,3,0.0000,41.0,funny engineer shirt,2
funny engineering shirts,0,6,0.0000,45.0,funny engineering shirt,2
funny glasses,0,2,0.0000,120.0,funny glasses,3
funny golf shirt logos,0,2,0.0000,69.0,funny golf shirt logos,2
funny golf shirts for men,0,16,0.0000,80.0,funny golf shirt men,2
funny golf t shirt,0,1,0.0000,64.0,funny golf shirt,2
funny google,0,2,0.0000,84.0,funny google,7
funny google logo,0,1,0.0000,34.0,funny google logo,7
funny google logos,0,19,0.0000,53.0,funny google logos,7
funny google shirts,0,6,0.0000,4.3,funny google shirt,2
funny guys shirts,0,1,0.0000,57.0,funny guys shirt,2
funny hats amazon,0,2,0.0000,35.0,funny hats amazon,2
funny headgear,0,2,0.0000,84.0,funny headgear,4
funny hoodies,0,4,0.0000,98.0,funny hoodies,4
funny information technology shirts,0,5,0.0000,37.0,funny information technology shirt,2
funny jerseys for sale,0,1,0.0000,76.0,funny jerseys sale,2
funny laptop decals,0,1,0.0000,38.0,funny laptop decals,3
funny laptop stickers,0,66,0.0000,54.0,funny laptop stickers,3
funny linux shirts,0,2,0.0000,70.0,funny linux shirt,2
funny logo shirts,0,2,0.0000,90.0,funny logo shirt,2
funny logo tees,0,1,0.0000,65.0,funny logo t-shirt,2
funny men t shirts,0,1,0.0000,140.0,funny men shirt,2
funny mens clothes,0,1,0.0000,55.0,funny mens clothes,2
funny mens hoodies,0,1,0.0000,95.0,funny mens hoodies,2
funny mens shirt,0,4,0.0000,94.0,funny mens shirt,2
funny mens t shirt,0,2,0.0000,87.0,funny mens shirt,2
funny mens t shirts,0,15,0.0000,79.0,funny mens shirt,2
funny mens t-shirts,0,4,0.0000,80.0,funny mens shirt,2
funny mens tshirts,0,5,0.0000,83.0,funny mens shirt,2
funny merchandise,0,5,0.0000,88.0,funny merchandise,5
funny mugs,0,7,0.0000,140.0,funny mugs,4
funny navy shirts,0,1,0.0000,99.0,funny navy shirt,2
funny new jersey t shirts,0,2,0.0000,65.0,funny new jersey shirt,2
funny office mugs,0,2,0.0000,86.0,funny office mugs,5
funny office stickers,0,1,0.0000,71.0,funny office stickers,2
funny office t shirts,0,2,0.0000,88.0,funny office shirt,2
funny papa t shirt,0,1,0.0000,99.0,funny papa shirt,2
funny pittsburgh shirts,0,3,0.0000,36.0,funny pittsburgh shirt,2
funny polo shirt,0,1,0.0000,68.0,funny polo shirt,2
funny price is right shirts,0,11,0.0000,80.0,funny price right shirt,2
funny pride shirt,0,1,0.0000,27.0,funny pride shirt,2
funny pride shirts,0,8,0.0000,34.0,funny pride shirt,2
funny pride t shirts,0,1,0.0000,32.0,funny pride shirt,2
funny printed t shirts,0,1,0.0000,75.0,funny printed shirt,2
funny printed t shirts for men,0,1,0.0000,73.0,funny printed shirt men,2
funny programmer t shirts,0,1,0.0000,43.0,funny programmer shirt,2
funny shirts,0,67,0.0000,110.0,funny shirt,2
funny shirts 2018,0,1,0.0000,39.0,funny shirt,2
funny shirts for guys,0,6,0.0000,95.0,funny shirt guys,2
funny shirts for men,0,5,0.0000,82.0,funny shirt men,2
funny soccer graphic tees,0,1,0.0000,57.0,funny soccer graphic t-shirt,2
funny socks,0,4,0.0000,150.0,funny socks,2
funny socks amazon,0,1,0.0000,58.0,funny socks amazon,2
funny socks for men,0,1,0.0000,99.0,funny socks men,2
funny stickers for laptops,0,6,0.0000,31.0,funny stickers laptops,3
funny t shirt for men,0,1,0.0000,97.0,funny shirt men,2
funny t shirt man,0,4,0.0000,82.0,funny shirt man,2
funny t shirt shop,0,2,0.0000,65.0,funny shirt shop,2
funny t shirt store,0,6,0.0000,73.0,funny shirt store,2
